Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
middle east,3198.05,352834.23,steam injection,99.4,6.9,2.98,9.46
asia,3328.1,441.64,water flooding,8.67,6.46,2.08,8.82
europe,1375.95,336869.34,fracking,96.32,9.91,2.18,7.85
north america,3132.65,1137433.69,fracking,92.05,1.19,4.42,4.95
north america,1441.0,1450.15,steam injection,24.74,4.88,2.15,0.05
south america,4447.25,3753311.96,water flooding,63.39,4.15,1.83,6.14
south america,686.18,4180898.78,fracking,51.37,7.15,3.25,5.49
south america,4118.71,4392.06,steam injection,99.48,5.43,3.68,9.39
north america,3675.91,4798.95,water flooding,32.47,0.37,1.35,5.5
asia,1381.71,4786.02,steam injection,64.11,5.98,4.13,3.31
europe,613.22,4672.15,steam injection,28.32,2.72,2.18,6.48
north america,4366.77,2497.1,fracking,91.84,4.84,0.82,3.71
south america,4971.2,1359447.4,water flooding,61.76,7.18,0.55,7.61
south america,2778.76,1470220.56,steam injection,53.09,6.44,0.64,1.27
north america,4281.52,2033153.87,water flooding,98.0,1.7,0.37,0.03
asia,1221.12,1271.72,fracking,15.61,0.95,2.37,4.0
asia,1506.43,2237.97,natural lift,10.55,5.45,2.38,1.37
asia,1200.67,3328.19,water flooding,39.17,6.74,4.11,9.16
north america,4135.12,456341.78,water flooding,5.15,4.96,3.96,8.14
asia,4478.86,3308.1,water flooding,18.92,8.37,3.28,3.89
middle east,4607.63,3200.71,fracking,4.7,5.91,2.98,9.29
south america,4672.87,4097.02,fracking,37.1,0.61,3.32,7.07
middle east,2248.74,1122.58,water flooding,34.72,5.45,1.27,0.81
south america,2466.07,1014456.71,water flooding,85.91,3.06,0.22,9.81
europe,1245.21,1562606.92,steam injection,82.73,7.01,3.27,1.11
south america,2328.32,948.53,natural lift,22.54,6.03,1.88,9.57
middle east,1876.48,3350.66,natural lift,32.18,7.04,2.5,3.08
south america,1236.27,985.85,natural lift,22.09,3.22,0.38,1.5
asia,2401.07,3926.15,fracking,68.52,6.86,3.1,8.79
europe,2307.88,1965.55,fracking,69.43,9.61,2.51,9.48
middle east,4369.4,2337477.82,natural lift,41.71,1.33,3.88,3.51
north america,4148.98,4076.99,fracking,67.36,6.76,2.21,2.57
north america,2570.73,1160745.75,fracking,73.1,7.6,2.29,6.13
north america,3275.24,2697.17,fracking,36.93,9.76,1.56,2.92
north america,635.16,3179.59,natural lift,55.57,7.97,2.71,7.21
europe,2481.8,2625676.51,natural lift,57.92,2.88,1.87,4.41
asia,2176.01,222.16,fracking,31.56,4.1,2.46,6.06
middle east,3447.61,1326875.25,water flooding,88.96,8.66,2.52,5.17
asia,3172.22,582126.11,natural lift,53.16,4.83,2.95,8.97
asia,2150.86,3340628.45,water flooding,96.84,5.71,1.64,9.34
south america,4817.36,1481582.63,natural lift,76.39,0.79,2.72,6.6
south america,963.4,1272575.75,natural lift,28.47,1.62,1.89,1.36
middle east,2153.23,1486426.34,steam injection,23.17,7.07,0.9,8.01
asia,869.86,1067.59,natural lift,26.71,5.33,2.12,8.24
europe,4039.36,2652.95,steam injection,41.7,4.31,3.66,2.89
europe,2300.86,2006555.31,natural lift,69.98,2.73,0.12,1.62
europe,2917.68,2597638.07,fracking,13.58,8.75,0.45,8.82
asia,2434.77,160496.67,steam injection,27.69,0.36,4.03,3.52
europe,1714.35,2060168.04,fracking,8.01,3.73,3.57,7.47
africa,4554.47,4067736.25,steam injection,80.78,3.38,2.89,6.9
africa,2867.09,408262.85,natural lift,62.84,9.84,3.82,0.57
asia,3195.01,2775.37,water flooding,18.96,5.12,1.18,3.81
africa,1822.23,3793672.54,water flooding,62.52,9.78,2.64,6.61
asia,4420.32,3694740.3,natural lift,86.76,4.39,4.21,7.87
africa,4548.26,1545.85,natural lift,91.34,6.3,3.29,9.59
africa,3555.3,4785621.85,fracking,17.16,6.09,4.69,6.36
south america,3901.92,3780.26,natural lift,59.42,4.96,3.72,3.61
north america,623.71,3516.69,natural lift,78.79,3.95,3.88,2.41
europe,1575.72,3120559.28,steam injection,20.27,6.75,1.94,2.58
asia,4591.05,2302054.21,water flooding,98.19,0.86,0.04,7.35
europe,4966.49,4100.67,natural lift,13.48,0.62,2.02,7.77
europe,2342.72,357.48,steam injection,63.69,9.17,1.58,0.93
europe,4023.29,4410.86,water flooding,65.81,7.97,3.59,5.57
south america,784.55,512.81,steam injection,89.41,6.78,4.52,9.0
europe,3138.55,4825.73,steam injection,89.71,3.66,2.83,7.77
south america,1021.74,1238.57,fracking,23.61,9.33,0.42,2.62
africa,4710.56,4996913.51,water flooding,79.73,2.75,2.18,5.28
africa,4234.09,2396019.71,natural lift,27.38,3.39,3.23,2.82
africa,1387.08,3462.95,steam injection,55.78,6.5,1.36,1.32
middle east,3043.87,1106.4,water flooding,82.41,3.07,2.23,8.79
south america,2671.87,1747.35,water flooding,33.34,4.88,3.5,8.84
south america,2837.9,497.06,water flooding,33.18,1.61,2.68,7.57
north america,2194.32,4807.1,steam injection,89.12,5.29,2.25,4.29
south america,525.12,4304.06,natural lift,11.12,5.0,3.21,6.08
africa,1330.19,4056.21,steam injection,43.46,3.3,0.03,7.15
europe,3011.39,4085.7,water flooding,16.3,7.34,1.13,9.37
asia,533.27,374.32,fracking,6.34,4.04,0.59,9.15
south america,1335.75,4961857.5,natural lift,39.69,3.4,3.35,7.72
south america,690.59,2181799.67,fracking,83.34,3.48,4.41,7.66
south america,3502.4,3365.07,natural lift,62.63,0.33,3.82,5.73
south america,4635.16,3411.84,fracking,53.42,7.39,4.22,1.39
africa,1060.59,552333.1,steam injection,31.69,9.4,4.32,1.07
asia,4413.65,1299.75,steam injection,0.14,3.95,1.09,3.74
south america,4183.56,426.01,natural lift,73.24,8.14,1.64,2.19
south america,3689.89,135405.01,water flooding,76.98,8.66,0.53,4.01
north america,594.88,2059.45,fracking,54.49,0.3,3.94,3.15
middle east,739.04,4897024.07,fracking,93.44,3.37,3.7,6.98
africa,2350.26,3085.52,natural lift,80.07,2.37,1.41,1.69
middle east,3856.48,3429971.84,natural lift,72.13,5.51,2.51,8.4
north america,3842.53,1881095.22,water flooding,18.04,0.94,0.69,1.71
middle east,1650.67,4305.82,fracking,62.58,8.25,1.29,6.17
middle east,3894.62,4967.81,steam injection,49.26,2.65,3.96,8.24
europe,3296.65,1157.47,fracking,34.85,3.83,0.82,0.53
africa,1295.18,3933733.47,fracking,62.19,7.11,0.72,7.56
south america,4175.87,3526.0,steam injection,85.4,7.02,4.89,3.67
north america,3098.11,1879.78,natural lift,89.27,4.93,1.62,3.82
middle east,3785.3,3300054.56,steam injection,39.13,2.47,3.37,7.62
africa,2834.92,2131.54,natural lift,71.66,3.24,2.04,8.93
south america,4428.87,4337815.27,steam injection,41.91,9.32,1.27,9.21
africa,2615.81,71210.94,natural lift,77.63,0.1,0.47,1.51
asia,4756.57,1324315.49,steam injection,54.34,7.52,4.66,6.38
europe,4563.71,470.76,natural lift,44.65,5.46,4.84,8.33
asia,3496.34,2454982.75,natural lift,48.21,4.04,1.72,9.08
north america,1873.87,3313.25,steam injection,57.72,9.75,0.27,9.93
north america,3925.75,3427961.5,natural lift,8.23,8.34,0.96,9.63
north america,4417.26,2834580.62,steam injection,58.6,3.55,0.11,0.01
middle east,2939.09,3809534.84,steam injection,74.49,4.12,4.71,7.18
africa,3078.3,4183.1,natural lift,6.48,8.26,2.85,8.97
middle east,2579.83,4838.19,natural lift,50.65,5.36,3.01,2.57
asia,4349.66,4649.58,fracking,64.79,6.92,2.62,4.22
asia,932.92,4737.13,steam injection,26.69,1.35,4.42,7.97
north america,4425.31,4495.35,natural lift,37.37,6.09,1.94,7.87
europe,1383.54,3849707.21,fracking,99.8,4.38,4.92,8.22
europe,2618.42,1702242.96,natural lift,50.48,4.23,3.66,8.49
south america,2570.67,1884.44,water flooding,0.85,1.98,3.54,3.75
middle east,1322.02,3125.15,natural lift,21.91,4.57,0.74,6.84
south america,4888.92,900.94,steam injection,49.47,2.15,1.09,8.51
europe,801.39,167.11,fracking,2.52,7.89,1.71,6.11
europe,4146.94,4454.01,steam injection,37.06,8.34,3.07,5.95
europe,865.92,331.06,fracking,75.86,7.67,2.01,7.59
africa,4183.39,2433.83,steam injection,26.86,8.71,0.38,5.18
north america,2186.39,4339.85,natural lift,48.48,2.1,3.23,6.89
asia,2582.05,1284.17,water flooding,84.45,6.31,1.97,6.56
middle east,1445.53,3382.0,steam injection,52.13,4.71,2.66,5.13
africa,1468.56,4844274.84,fracking,16.58,1.34,1.16,1.92
north america,1660.02,1052.07,water flooding,15.8,1.83,1.84,4.1
north america,1170.55,1713.7,steam injection,73.96,5.05,2.41,2.4
south america,1664.55,4237.7,natural lift,21.76,1.88,1.87,0.38
north america,2731.29,908.86,water flooding,5.73,5.18,1.21,9.53
africa,1057.2,3238.72,steam injection,95.75,1.51,2.2,2.3
africa,966.47,235.23,natural lift,10.07,3.56,4.87,1.24
europe,4163.27,675538.42,water flooding,20.09,6.49,1.83,8.41
south america,4681.83,4844564.49,water flooding,41.17,5.14,3.92,3.17
north america,4197.8,1325036.88,steam injection,58.84,7.84,4.28,2.24
africa,515.17,1998.42,natural lift,96.37,5.77,1.26,0.03
middle east,3687.83,3215287.86,fracking,74.13,0.35,2.53,7.53
south america,4740.37,1468.99,natural lift,72.62,0.35,1.19,4.38
middle east,2642.06,3197452.47,steam injection,5.53,6.4,2.19,6.65
europe,1041.6,4935.75,water flooding,42.51,7.65,4.99,1.99
south america,4137.82,2491622.61,natural lift,78.06,9.4,3.27,6.63
south america,2613.33,2442617.78,fracking,22.06,0.49,0.06,3.61
asia,4184.57,867.33,steam injection,82.51,6.24,2.06,0.13
asia,3649.18,2067320.42,water flooding,43.65,7.08,3.98,5.72
south america,945.06,4598.72,steam injection,49.77,9.45,1.16,5.11
north america,511.77,1954625.28,water flooding,72.05,0.31,0.08,5.42
north america,1724.72,4215727.95,natural lift,58.54,4.92,0.48,2.85
africa,4989.48,1262.32,natural lift,19.66,4.01,3.27,5.93
asia,2493.11,2037.16,water flooding,26.06,2.72,4.82,2.41
middle east,3065.55,1615540.0,steam injection,2.58,8.01,0.16,1.14
asia,3376.66,3639.37,fracking,41.38,0.09,3.86,7.22
middle east,807.17,1892477.22,water flooding,48.55,8.08,4.9,2.73
africa,1375.29,3470368.55,water flooding,89.9,8.27,1.91,2.28
asia,792.04,2251.43,steam injection,7.24,0.92,0.29,3.27
asia,4972.55,4173675.6,fracking,28.91,0.27,0.65,3.89
africa,3586.63,197659.68,water flooding,36.38,2.79,1.44,0.1
europe,1370.2,1763.01,natural lift,39.18,8.75,4.56,2.94
europe,1010.03,664.16,fracking,21.42,5.77,0.19,4.84
north america,3436.58,4248031.79,natural lift,65.99,1.91,0.31,4.68
europe,2969.53,4723.43,steam injection,39.86,6.44,0.19,0.33
africa,3560.07,3878312.54,steam injection,68.72,0.71,1.33,8.49
asia,4678.01,216.16,natural lift,17.93,8.19,1.74,3.64
africa,3226.28,1222619.04,natural lift,54.86,5.48,0.87,7.06
south america,1466.42,4015.01,steam injection,96.2,7.18,0.62,4.76
south america,3285.11,2280701.79,water flooding,23.2,1.45,1.49,7.89
africa,1953.88,961859.54,water flooding,0.53,5.08,2.95,7.62
south america,845.6,1433299.87,water flooding,26.74,9.39,3.33,4.38
south america,3089.69,1308067.46,steam injection,97.16,5.97,4.44,1.38
middle east,1434.51,4977.11,natural lift,32.89,7.43,4.65,7.87
south america,2283.86,343.6,water flooding,28.22,2.5,0.16,1.32
africa,853.31,2100614.48,fracking,36.97,3.57,4.61,6.28
middle east,1113.06,1082.86,natural lift,66.38,6.58,0.68,3.22
north america,4135.73,416655.57,steam injection,44.63,4.6,4.31,5.04
europe,3802.45,4719684.53,natural lift,3.43,5.07,4.51,5.47
middle east,1179.62,4452369.51,fracking,53.11,1.5,3.27,6.06
europe,4053.66,1934.18,natural lift,40.49,3.38,2.39,9.51
europe,4011.11,1850.6,water flooding,6.12,7.42,3.21,7.65
south america,4606.69,3135272.84,natural lift,48.5,1.12,4.99,3.07
africa,4960.16,271.99,natural lift,23.84,1.98,1.87,0.28
europe,3405.49,2159.4,fracking,14.22,8.32,3.04,1.28
north america,906.51,2603.33,natural lift,42.66,3.63,0.1,7.76
africa,2344.59,4839.27,steam injection,21.2,6.97,0.07,2.74
africa,2811.61,4564945.26,fracking,12.81,2.12,2.52,9.68
north america,4231.06,4616065.98,natural lift,95.81,8.07,0.29,1.49
africa,4502.0,1833489.68,fracking,73.79,0.27,0.3,3.76
africa,1471.58,1936994.29,water flooding,39.6,4.45,2.7,1.44
north america,3835.48,259.07,water flooding,18.42,6.32,3.62,7.7
north america,4004.23,4013594.79,steam injection,19.61,0.58,1.05,8.35
africa,2106.21,906.83,natural lift,98.65,8.7,4.67,4.83
middle east,2867.71,1643312.3,natural lift,67.01,8.66,4.9,8.51
north america,4313.5,537773.04,steam injection,86.37,1.23,1.57,5.01
middle east,1928.05,1955.98,natural lift,39.69,9.89,0.89,3.52
africa,4938.45,1999747.41,steam injection,60.03,5.64,3.52,2.03
africa,1741.08,1788358.65,natural lift,12.28,1.09,1.95,3.69
middle east,1891.61,3051952.36,water flooding,35.33,3.63,1.63,4.59
north america,3868.29,848.52,steam injection,25.47,2.79,4.06,5.76
asia,3482.92,4398477.5,water flooding,53.31,1.54,2.27,0.14
africa,3060.62,4246102.03,natural lift,27.01,2.77,4.6,5.14
middle east,4264.63,3292.78,steam injection,30.9,4.93,3.6,7.22
north america,3067.25,2875.75,natural lift,16.53,0.06,0.93,2.49
middle east,4198.82,4212.46,steam injection,40.46,8.76,2.82,2.5
europe,2334.43,3824.63,fracking,60.74,4.85,1.33,4.83
africa,4080.84,4408003.68,water flooding,74.22,6.51,3.46,6.29
africa,2751.91,2993.0,steam injection,26.24,3.55,4.26,1.94
europe,4462.9,3015.95,natural lift,81.85,5.6,1.58,8.59
africa,1716.02,4378.47,steam injection,99.39,7.85,1.38,6.87
asia,524.92,1105827.47,water flooding,98.29,6.08,3.5,2.6
south america,3075.35,1949520.52,water flooding,78.23,0.32,3.96,2.54
south america,2255.46,172306.81,steam injection,30.1,6.78,0.86,6.04
south america,3125.3,2826333.9,water flooding,68.61,2.05,3.89,7.41
europe,2205.27,4603.44,natural lift,39.15,4.6,1.69,5.15
north america,3637.3,579945.67,fracking,13.76,4.93,4.52,8.58
europe,4009.59,1146805.96,water flooding,79.33,4.06,4.6,1.74
middle east,2059.14,4741.7,fracking,81.57,5.68,3.68,3.66
europe,3903.18,3062.18,natural lift,88.53,3.89,2.98,1.16
north america,2226.19,2718.04,natural lift,74.47,8.91,2.64,0.93
south america,3459.96,2182.34,steam injection,95.83,3.9,0.29,8.84
africa,4047.92,2049927.08,steam injection,18.51,8.25,4.7,2.48
middle east,3639.37,895014.85,steam injection,89.31,4.67,0.6,3.33
asia,1250.21,2993289.97,fracking,52.75,4.59,2.46,4.72
asia,1047.25,4896714.68,fracking,42.7,7.73,3.37,6.5
europe,1323.32,824559.13,steam injection,62.23,2.21,2.41,9.66
europe,2360.34,2594318.77,fracking,53.29,1.05,3.28,4.4
europe,4446.37,2355.57,natural lift,86.62,2.64,1.91,5.09
north america,3253.43,4071.7,fracking,88.12,2.55,1.47,1.93
asia,1931.65,205.47,natural lift,63.09,0.86,2.9,5.54
asia,687.25,1980261.39,natural lift,72.94,1.45,4.22,8.44
north america,3169.99,486.44,fracking,93.5,9.03,1.45,1.0
north america,557.3,4039.42,natural lift,21.45,4.08,3.06,9.04
north america,2239.03,2348.32,fracking,21.05,3.56,0.53,5.59
africa,1113.23,699.2,fracking,35.7,3.04,0.27,1.63
europe,3878.45,301.69,steam injection,7.36,0.28,2.67,4.77
north america,4914.94,4640512.28,steam injection,26.94,2.86,1.75,5.05
asia,3712.83,4187012.28,natural lift,49.01,8.18,4.35,8.5
africa,4772.1,1573.77,steam injection,92.11,2.52,2.97,8.25
north america,901.28,1736.98,fracking,76.15,3.53,4.72,4.35
africa,3381.98,4677.4,water flooding,42.25,2.34,2.84,8.12
africa,1183.58,4633390.42,natural lift,50.5,3.59,0.18,0.13
asia,4036.98,547.91,natural lift,52.33,5.3,4.58,8.73
africa,1516.51,3644610.6,water flooding,70.0,1.92,2.58,7.42
asia,1691.05,511.73,natural lift,61.34,4.32,4.46,5.67
asia,2728.76,4855.18,natural lift,50.15,7.25,2.35,4.27
europe,1837.05,4962.57,natural lift,27.98,6.46,2.78,7.42
europe,1790.01,2866.55,natural lift,85.37,0.08,1.9,0.75
south america,1609.68,3576904.82,steam injection,21.28,0.6,2.74,8.01
south america,1782.27,3555904.69,steam injection,53.86,2.91,0.15,8.59
north america,804.04,3910005.91,fracking,95.53,7.83,0.69,9.84
middle east,3153.01,1470.39,natural lift,4.43,1.42,1.43,7.63
north america,3043.88,4480.24,water flooding,48.18,0.35,4.25,7.47
north america,4661.89,4933.72,natural lift,65.63,9.67,3.22,0.51
africa,1229.99,3235119.36,fracking,90.06,3.57,4.99,4.31
africa,2658.28,3009.59,steam injection,23.29,7.33,0.27,4.2
middle east,3880.82,4318220.54,fracking,61.53,4.47,0.46,1.7
north america,3623.61,4694.27,fracking,16.8,5.47,3.34,8.73
asia,1478.59,1949.13,fracking,93.85,1.8,0.62,3.99
africa,3421.5,2809914.67,water flooding,88.25,9.06,0.08,9.33
middle east,2726.04,211072.46,steam injection,46.1,4.02,0.05,1.24
europe,4133.64,4450108.49,steam injection,86.97,4.5,1.41,8.93
middle east,1755.88,2985.29,steam injection,86.46,0.06,3.95,0.77
south america,1355.99,3503.37,steam injection,61.02,7.26,2.51,6.33
north america,4775.98,3950416.27,water flooding,63.6,8.81,1.9,8.55
north america,1280.71,2846383.88,natural lift,2.05,0.71,0.55,7.54
south america,4614.0,1215646.77,natural lift,0.51,3.43,1.4,0.49
africa,1927.54,587.66,natural lift,27.42,9.67,3.01,2.88
north america,2831.5,1077.96,water flooding,9.07,6.33,2.86,4.91
middle east,2968.76,442517.7,fracking,52.08,0.77,2.86,6.22
africa,1661.66,2324055.19,water flooding,62.74,8.59,0.92,0.37
middle east,1895.28,773.02,steam injection,9.4,0.18,4.28,0.14
north america,2532.89,1989077.58,natural lift,64.34,7.12,1.57,4.65
asia,4866.69,4294.63,water flooding,48.82,7.36,1.77,0.25
africa,1277.41,4299.14,fracking,4.89,1.15,4.7,8.63
africa,2954.15,3912096.06,fracking,11.54,9.57,2.98,8.19
africa,1399.26,3701646.97,water flooding,30.67,9.27,3.48,5.84
africa,3716.6,1986.74,water flooding,96.81,6.85,4.27,1.74
south america,1470.93,4679.11,natural lift,89.33,6.47,0.73,9.62
asia,651.5,3903897.25,natural lift,68.24,8.78,2.83,9.19
asia,3213.75,1228.26,steam injection,51.94,5.29,3.73,3.73
middle east,602.21,3388.07,steam injection,35.04,5.35,0.78,4.48
asia,1642.61,417.66,natural lift,93.53,6.09,0.88,3.36
south america,2010.04,565572.4,steam injection,90.06,3.7,3.13,1.88
asia,1356.67,2743.28,fracking,0.31,7.55,3.95,5.43
africa,2959.11,4323.39,natural lift,17.8,8.25,2.81,4.48
south america,920.24,2127373.99,natural lift,65.96,4.31,1.35,5.01
south america,2009.55,4362.19,water flooding,32.87,5.17,4.77,2.51
north america,1795.48,1993.08,natural lift,85.37,0.81,0.11,5.18
north america,3056.91,2846.13,water flooding,20.96,3.71,3.62,2.76
south america,4696.03,4622840.49,natural lift,17.42,9.73,4.93,6.32
asia,4900.87,1634.81,steam injection,21.59,2.1,2.01,2.93
europe,3072.27,4956.63,steam injection,4.19,3.17,0.87,2.31
asia,2271.14,2034516.37,natural lift,1.75,6.47,1.55,0.61
middle east,1961.31,1967746.05,natural lift,15.94,8.27,1.77,6.91
middle east,2072.18,2510638.7,natural lift,78.5,5.41,0.12,9.65
europe,1749.94,813596.63,steam injection,27.92,3.43,0.56,5.7
middle east,536.24,2594.58,natural lift,57.84,2.41,0.27,0.35
asia,3548.71,958421.85,steam injection,43.61,6.4,2.21,1.4
asia,1185.24,1237774.2,steam injection,49.4,1.92,3.72,8.33
north america,3201.14,3168572.18,natural lift,25.44,6.17,2.75,8.89
middle east,2360.2,1638.19,water flooding,20.74,1.98,1.98,0.57
europe,1419.03,897.16,fracking,94.98,9.44,2.07,1.61
europe,1916.35,4671.59,steam injection,22.93,0.8,3.68,2.48
north america,1099.77,1210.03,steam injection,14.48,1.68,2.01,2.64
south america,1064.62,1790819.83,fracking,21.18,0.88,2.0,6.69
africa,1330.43,4574.23,fracking,99.86,3.58,3.7,8.68
north america,4337.95,4338.26,steam injection,13.37,7.96,1.76,9.85
north america,1880.11,1936118.24,fracking,20.32,2.35,4.85,3.31
middle east,996.4,4545813.95,natural lift,56.14,9.62,4.2,4.16
south america,4945.61,2854.89,steam injection,11.29,3.26,0.88,0.5
north america,1246.45,219.88,fracking,89.93,2.81,2.82,3.84
asia,3307.28,3876.35,fracking,65.06,1.66,0.68,8.1
asia,1055.36,1874.38,natural lift,27.33,5.59,4.78,4.46
asia,1059.71,466.33,natural lift,9.3,8.62,2.18,0.55
africa,4627.08,1126.67,steam injection,34.8,7.38,3.74,4.37
africa,1833.74,1461.26,water flooding,18.44,2.5,1.03,2.11
middle east,2233.62,3383218.7,fracking,16.06,9.67,0.5,5.71
asia,3119.36,2526.54,fracking,11.24,1.21,3.51,8.24
south america,582.17,1658674.65,natural lift,63.94,4.51,0.44,8.13
south america,2347.18,1100.69,steam injection,54.76,1.7,4.36,2.41
asia,4149.71,1084.0,steam injection,71.96,7.02,2.75,1.13
europe,4929.51,3728.97,water flooding,0.28,6.52,3.78,2.62
south america,1836.52,1611103.99,fracking,53.34,5.21,4.39,9.91
europe,1829.05,3975.43,natural lift,95.07,7.28,2.05,9.82
middle east,3552.42,2811470.66,fracking,71.49,6.4,4.94,1.92
south america,2118.43,3649634.74,fracking,72.46,4.15,4.99,2.58
middle east,3048.85,1035779.71,steam injection,49.67,6.51,3.13,0.35
europe,4934.45,997.53,steam injection,60.72,9.86,0.43,8.96
middle east,1197.45,2929.09,steam injection,95.98,2.64,3.08,7.99
europe,3515.55,3154493.42,fracking,63.95,2.82,1.77,9.76
europe,4191.14,3708592.42,natural lift,25.27,8.46,3.87,0.48
africa,3344.42,4886.15,fracking,10.02,1.55,1.43,6.42
north america,1656.41,3719.73,natural lift,37.03,3.91,2.77,1.15
europe,2921.12,1006291.06,steam injection,55.53,1.0,4.88,6.74
asia,2214.52,1035.98,natural lift,47.77,8.83,3.59,1.96
africa,779.93,2732046.67,natural lift,43.4,2.34,2.29,8.69
asia,2039.59,2043336.21,water flooding,21.5,6.77,1.92,2.94
north america,1547.04,3480995.5,natural lift,39.68,1.66,3.81,3.8
asia,838.91,1456800.17,natural lift,27.99,9.79,0.92,1.54
south america,1004.5,1016425.52,water flooding,80.46,2.13,1.08,7.65
europe,3971.55,4384.22,water flooding,57.55,0.01,4.77,4.89
north america,4363.91,3810847.9,fracking,13.22,5.51,1.66,4.53
south america,4101.09,728.82,fracking,46.07,4.91,3.79,8.35
north america,1700.07,3709756.11,steam injection,41.5,8.31,1.57,2.84
middle east,1577.19,4910815.64,water flooding,17.53,9.52,3.93,6.68
europe,4342.43,819.74,water flooding,13.97,6.38,1.69,7.58
asia,938.28,1814779.34,steam injection,21.61,6.09,1.98,3.92
africa,3176.49,2386696.96,steam injection,42.49,5.25,2.14,3.32
middle east,3443.1,2746758.38,fracking,74.85,3.0,3.11,8.0
middle east,4470.57,4415319.75,fracking,0.52,4.43,2.05,2.78
middle east,2005.65,3765.8,fracking,43.13,9.85,1.12,4.27
north america,2212.9,1421.97,water flooding,38.05,2.41,2.7,5.94
africa,3869.35,1726.22,water flooding,68.21,0.01,0.33,8.7
middle east,539.02,4872.74,fracking,89.64,5.57,3.25,2.53
south america,2528.91,384.82,natural lift,98.8,3.29,1.02,9.79
europe,2866.69,2422.3,natural lift,9.32,0.94,1.73,4.86
north america,2997.36,3010496.42,steam injection,49.24,2.81,4.0,6.66
asia,873.28,4197.04,natural lift,27.7,9.88,1.2,1.46
africa,4950.48,4039.34,water flooding,35.23,4.85,1.34,9.9
europe,2477.51,3784251.36,steam injection,23.1,0.52,0.8,5.47
south america,4291.52,3681726.02,fracking,89.98,4.46,0.37,3.35
africa,4346.9,2871.31,natural lift,9.49,6.32,0.32,8.86
asia,4958.93,851.96,steam injection,27.81,9.19,4.41,1.51
europe,2920.16,2793926.82,fracking,60.15,4.94,2.26,2.85
asia,3531.94,4242.21,steam injection,20.07,0.29,2.83,3.14
asia,4801.83,3957688.96,fracking,72.65,3.64,0.3,2.56
africa,4899.4,2191.16,water flooding,49.86,2.93,4.43,4.09
africa,1548.42,4863045.5,fracking,50.26,0.55,1.34,0.11
north america,2124.27,440.93,steam injection,37.15,6.79,2.19,3.21
europe,676.1,3979559.16,steam injection,39.56,3.2,1.02,2.45
middle east,1602.11,2720088.3,fracking,4.98,0.33,3.76,4.21
africa,2209.54,4520.93,water flooding,57.0,7.54,4.67,6.1
africa,3223.57,3454.32,steam injection,5.79,7.34,3.78,2.52
africa,4456.18,2701.24,steam injection,33.61,7.06,2.29,8.41
africa,4335.79,1326860.33,water flooding,73.51,2.13,4.39,3.66
middle east,840.06,646472.02,water flooding,74.87,5.94,1.97,8.42
south america,1603.39,4647.58,natural lift,83.52,8.82,0.77,1.89
asia,1161.97,2486.48,natural lift,6.6,5.79,4.25,8.39
asia,1127.97,1152.24,water flooding,26.15,7.91,1.35,3.68
north america,940.48,4669371.26,natural lift,76.48,3.11,0.84,0.14
asia,2285.61,1294226.96,steam injection,31.55,1.63,3.25,6.66
north america,3212.17,4795230.75,steam injection,86.74,1.74,1.13,4.43
south america,1950.9,684.78,fracking,64.81,9.81,2.07,2.09
north america,3623.57,2980879.1,fracking,31.1,2.07,1.1,3.21
africa,2370.45,4631.87,steam injection,7.29,9.06,2.44,0.47
south america,843.18,1918044.57,natural lift,78.16,0.59,1.91,5.83
middle east,3724.99,2297593.02,natural lift,26.31,3.44,4.63,2.44
middle east,4414.73,4910982.18,fracking,85.5,8.48,1.51,0.92
middle east,4797.06,2608063.6,fracking,95.21,1.45,1.53,0.77
europe,528.57,2971526.22,steam injection,9.1,1.6,1.83,7.58
north america,2800.36,3287308.54,steam injection,52.35,4.67,4.64,6.98
middle east,3049.81,1356.08,water flooding,96.74,7.15,4.28,5.22
asia,3888.87,4328.02,fracking,40.2,9.82,2.15,0.55
europe,4530.22,481506.46,steam injection,1.03,4.94,3.41,3.83
north america,4881.79,1661416.01,water flooding,60.08,0.31,0.53,5.51
middle east,2345.35,3421107.27,natural lift,70.93,7.71,1.24,9.59
middle east,4687.62,521320.2,fracking,72.17,4.7,2.39,9.69
africa,1642.42,635.69,water flooding,15.95,8.69,3.8,7.99
africa,2255.72,3429.18,natural lift,97.69,3.85,4.1,5.53
asia,3715.93,1356589.29,water flooding,55.4,5.71,0.28,4.04
north america,1297.25,703.32,natural lift,83.88,2.73,1.29,7.57
asia,2945.49,749886.19,steam injection,89.39,7.58,2.09,0.21
middle east,2911.15,4032062.89,steam injection,83.52,3.58,0.43,1.14
europe,732.88,2315.28,fracking,19.53,7.77,2.75,5.9
middle east,3557.29,4491803.33,natural lift,23.19,2.63,2.62,9.3
asia,2820.2,2105.36,water flooding,20.27,9.43,3.62,4.69
africa,913.6,2243896.0,steam injection,59.42,1.21,3.01,6.44
africa,3433.59,4105193.36,water flooding,81.73,3.37,0.42,1.94
europe,2165.57,164098.14,water flooding,23.38,0.46,2.96,3.52
south america,3834.72,3677.47,water flooding,7.34,9.76,3.04,2.14
asia,1099.61,3340144.14,steam injection,0.47,1.18,2.45,4.85
asia,2057.84,920527.57,natural lift,52.9,0.29,2.32,6.11
